City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Khasan,RU,42.43,130.64,69.42,95,100,8.23
99,Provideniya,RU,64.38,-173.3,51.8,57,75,11.18
100,Hami,CN,42.8,93.45,82.78,13,77,4.52
101,Adre,TD,13.47,22.2,72.88,82,27,6.04
102,Kaitangata,NZ,-46.28,169.85,51.01,54,9,8.01
103,Upernavik,GL,72.79,-56.15,37.02,80,51,9.24
104,Bambous Virieux,MU,-20.34,57.76,71.6,83,75,11.41
105,Touros,BR,-5.2,-35.46,73.4,94,40,4.7
106,Turbat,PK,26.0,63.04,83.97,42,0,4.56
107,Novyy Urengoy,RU,66.08,76.63,46.54,81,100,10.2
108,Sur,OM,22.57,59.53,81.1,65,0,6.26
109,Hokitika,NZ,-42.72,170.97,50.47,53,0,8.97
110,Bingol,TR,38.88,40.49,67.44,31,0,3.98
111,Thompson,CA,55.74,-97.86,51.8,81,75,2.24
112,Lebu,CL,-37.62,-73.65,49.66,87,90,4.5
113,Havre-Saint-Pierre,CA,50.23,-63.6,51.8,87,20,4.7
114,Jawa,JO,31.85,35.94,77.0,29,0,5.5
115,Rancho Palos Verdes,US,33.74,-118.39,68.0,88,0,1.01
116,Barrow,US,71.29,-156.79,37.4,86,90,18.34
117,Stavern,NO,59.0,10.03,48.99,81,0,2.24
118,Port-Gentil,GA,-0.72,8.78,74.68,81,100,11.25
119,Caborca,MX,30.58,-111.1,80.01,80,26,0.56
120,Mount Isa,AU,-20.73,139.5,82.4,23,0,13.87
121,Kongolo,CD,-5.38,27.0,75.11,70,3,1.97
122,Vila Franca Do Campo,PT,37.72,-25.43,71.6,78,75,3.36
123,Buala,SB,-8.14,159.59,83.91,71,46,4.32
124,Mar Del Plata,AR,-38.0,-57.56,44.01,75,63,10.29
125,Harrisonburg,US,38.45,-78.87,72.0,100,90,2.62
126,Mastic Beach,US,40.77,-72.85,70.0,77,90,4.7
127,New Iberia,US,30.0,-91.82,84.2,89,75,9.17
128,Kloulklubed,PW,7.04,134.26,86.0,66,75,5.82
129,Landazuri,CO,6.22,-73.81,66.13,94,100,4.65
130,Coquimbo,CL,-29.95,-71.34,51.8,76,0,1.12
131,Meulaboh,ID,4.14,96.13,78.21,78,100,5.79
132,Talara,PE,-4.58,-81.27,63.21,81,5,20.92
133,Auki,SB,-8.77,160.7,80.76,79,89,6.55
134,Butterworth,MY,5.4,100.36,86.0,83,20,6.93
135,Ribeira Grande,PT,38.52,-28.7,72.72,73,99,1.9
136,Bredasdorp,ZA,-34.53,20.04,60.8,82,96,12.75
137,Shawinigan,CA,46.57,-72.75,66.2,88,90,5.82
138,Acayucan,MX,17.95,-94.92,77.67,87,0,6.51
139,Podor,MR,16.65,-14.96,85.06,63,73,13.96
140,Sayyan,YE,15.17,44.32,61.14,64,7,1.25
141,Avera,US,33.19,-82.53,82.4,100,1,5.86
142,Ostrovnoy,RU,68.05,39.51,42.12,81,78,6.96
143,Biryusinsk,RU,55.96,97.82,60.69,78,31,13.49
144,Casa Nova,BR,-9.42,-41.13,72.59,73,5,23.13
145,Kondinskoye,RU,59.65,67.41,51.22,94,83,3.96
146,The Valley,AI,18.22,-63.06,84.2,79,40,12.75
147,Henties Bay,NA,-22.12,14.28,48.0,85,0,6.85
148,Tasiilaq,GL,65.61,-37.64,37.4,95,100,12.75
149,Cozumel,MX,20.51,-86.95,84.2,79,40,4.7
150,Clyde River,CA,70.47,-68.59,39.2,93,75,11.41
151,Faya,SA,18.39,42.45,64.4,77,0,4.07
152,College,US,64.86,-147.8,57.2,67,75,9.17
153,Jamestown,US,42.1,-79.24,69.01,93,40,6.93
154,Daura,NG,11.55,11.41,72.75,90,100,8.79
155,Ilirska Bistrica,SI,45.57,14.24,62.01,92,6,13.0
156,Liepaja,LV,56.54,21.04,57.2,87,100,8.05
157,Aswan,EG,24.09,32.91,82.4,24,0,6.49
158,Andenes,NO,69.31,16.12,50.0,81,100,9.17
159,Besskorbnaya,RU,44.64,41.31,60.01,8,0,5.99
160,Beloha,MG,-25.17,45.05,65.34,84,100,14.14
161,Homer,US,59.64,-151.55,59.0,77,1,13.87
162,Maldonado,UY,-34.67,-54.92,51.01,76,90,12.75
163,Grand-Santi,GF,4.25,-54.38,75.54,78,5,3.65
164,Jiangyou,CN,31.77,104.72,77.2,73,93,1.41
165,Soyo,AO,-6.13,12.37,71.76,86,67,8.95
166,Lozovik,RS,44.47,21.1,53.01,86,5,3.33
167,Sitka,US,57.05,-135.33,55.4,93,90,11.41
168,Ilulissat,GL,69.22,-51.1,41.0,75,68,4.7
169,Palauig,PH,15.44,119.9,85.71,69,99,8.75
170,Parnamirim,BR,-5.92,-35.26,73.4,94,75,5.82
171,Axim,GH,4.87,-2.24,74.26,89,100,7.92
172,Isangel,VU,-19.55,169.27,77.0,73,90,11.41
173,Benguela,AO,-12.58,13.41,67.89,84,75,0.78
174,Torbay,CA,47.67,-52.73,54.0,93,20,10.29
175,Codrington,AU,-38.27,141.97,62.08,63,24,19.35
176,Kalmunai,LK,7.42,81.82,78.76,83,100,7.96
177,Avarua,CK,-21.21,-159.78,78.8,78,5,12.75
178,Campoverde,PE,-8.48,-74.81,76.96,70,100,1.57
179,Grindavik,IS,63.84,-22.43,48.2,93,75,5.82
180,Khorixas,NA,-20.37,14.97,45.63,51,0,3.69
181,Cabo San Lucas,MX,22.89,-109.91,81.0,83,40,8.05
182,Kenai,US,60.55,-151.26,60.8,63,1,9.17
183,Cartagena,CO,10.4,-75.51,81.45,79,99,7.47
184,Yulara,AU,-25.24,130.99,84.2,13,0,12.75
185,Najran,SA,17.49,44.13,78.8,24,1,0.92
186,Souillac,MU,-20.52,57.52,71.6,83,75,11.41
187,Zanjan,IR,36.67,48.48,60.6,43,0,4.34
188,Byron Bay,AU,-28.65,153.62,73.99,64,75,13.87
189,Saldanha,ZA,-33.01,17.94,59.0,62,7,6.93
190,Alofi,NU,-19.06,-169.92,84.2,66,75,9.17
191,Batagay-Alyta,RU,67.8,130.41,52.27,54,84,6.33
192,Skjervoy,NO,70.03,20.97,52.45,69,98,10.63
193,Campbell River,CA,50.02,-125.24,69.8,68,40,6.93
194,Tilichiki,RU,60.47,166.1,47.19,91,100,5.32
195,Walvis Bay,NA,-22.96,14.51,48.0,75,0,8.05
196,Khatanga,RU,71.97,102.5,52.18,69,25,12.26
197,Egvekinot,RU,66.32,-179.17,43.57,61,85,2.86
198,Tessalit,ML,20.2,1.01,88.39,42,62,20.83
199,Narsaq,GL,60.92,-46.05,41.0,80,53,2.24
200,Vila Velha,BR,-20.33,-40.29,72.0,88,20,5.82
201,Darhan,MN,49.49,105.92,60.01,62,0,9.06
202,Port Hardy,CA,50.7,-127.42,60.8,93,75,4.7
203,Constitucion,CL,-35.33,-72.42,49.12,80,87,3.71
204,Kadyy,RU,57.79,43.19,50.11,88,80,6.8
205,Maceio,BR,-9.67,-35.74,75.2,83,75,10.29
206,Lompoc,US,34.64,-120.46,66.2,68,1,12.75
207,Saint-Louis,SN,16.33,-15.0,83.52,68,78,12.75
208,Roma,US,43.21,-75.46,69.8,77,90,8.05
209,Gazojak,TM,41.19,61.4,72.0,31,0,9.08
210,Pisco,PE,-13.7,-76.22,62.6,77,0,13.87
211,Butaritari,KI,3.07,172.79,83.46,78,46,17.34
212,Almere,NL,52.37,5.21,54.0,99,0,1.39
213,Floresta,BR,-8.6,-38.57,69.35,80,16,16.62
214,Coihaique,CL,-45.58,-72.07,39.2,80,25,4.7
215,Mbanza-Ngungu,CD,-5.25,14.87,72.79,76,100,6.22
216,Rawson,AR,-43.3,-65.1,51.3,57,0,19.06
